PktCount,SumPktLength,MaxPktLength,MinPktLength,MeanPktLength,SumIat,MaxIat,MinIat,MeanIat,FlowDuration,InitialWindow,SumWindow,MaxWindow,MinWindow,MeanWindow,IsTCP,isVideo
5.0,1230.0,566.0,54.0,246.0,53908112.0,30702287.0,886069.0,13477028.0,53908112.0,172.0,860.0,172.0,172.0,172.0,1.0,0.0
11.0,2468.0,1090.0,54.0,224.36363636363637,61567724.0,60052136.0,0.0,6156772.4,61567724.0,65535.0,778239.0,90112.0,0.0,70749.0,1.0,0.0
17.0,2640.0,583.0,66.0,155.2941176470588,20855605.0,19979949.0,0.0,1303475.3125,20855605.0,65535.0,1502719.0,91648.0,65535.0,88395.23529411765,1.0,0.0
20.0,2673.0,583.0,66.0,133.65,21583183.0,19996221.0,0.0,1135957.0,21583183.0,65535.0,1782783.0,93184.0,65535.0,89139.15,1.0,0.0
14.0,1706.0,583.0,66.0,121.85714285714286,724317.0,215821.0,0.0,55716.692307692305,724317.0,65535.0,1221631.0,89088.0,65535.0,87259.35714285714,1.0,0.0
16.0,3538.0,679.0,66.0,221.125,24874892.0,20014219.0,0.0,1658326.1333333333,24874892.0,65535.0,1427455.0,92672.0,65535.0,89215.9375,1.0,0.0
14.0,2546.0,819.0,66.0,181.85714285714286,20722836.0,20149344.0,141.0,1594064.3076923077,20722836.0,65535.0,930815.0,66560.0,65535.0,66486.78571428571,1.0,0.0
19.0,3068.0,818.0,66.0,161.47368421052633,21415943.0,20166943.0,67.0,1189774.611111111,21415943.0,65535.0,1263615.0,66560.0,65535.0,66506.05263157895,1.0,0.0
14.0,1345.0,222.0,66.0,96.07142857142857,560293.0,215117.0,138.0,43099.46153846154,560293.0,65535.0,930815.0,66560.0,65535.0,66486.78571428571,1.0,0.0
15.0,3053.0,677.0,66.0,203.53333333333333,24675547.0,20156479.0,137.0,1762539.0714285714,24675547.0,65535.0,997375.0,66560.0,65535.0,66491.66666666667,1.0,0.0
9.0,1388.0,659.0,66.0,154.22222222222223,61268467.0,60424809.0,1331.0,7658558.375,61268467.0,65535.0,598015.0,66560.0,65535.0,66446.11111111111,1.0,0.0
16.0,2646.0,908.0,66.0,165.375,33430317.0,20017940.0,0.0,2228687.8,33430317.0,65535.0,1375230.0,89088.0,65535.0,85951.875,1.0,0.0
15.0,1318.0,222.0,66.0,87.86666666666666,32105434.0,19991345.0,141.99999999953434,2293245.285714286,32105434.0,65535.0,996350.0,66560.0,65535.0,66423.33333333333,1.0,0.0
11.0,3642.0,571.0,54.0,331.09090909090907,46295082.0,16031368.0,5954.0,4629508.2,46295082.0,65535.0,946175.0,88064.0,65535.0,86015.90909090909,1.0,0.0
1.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,65535.0,1.0,0.0
140.0,160241.0,1443.0,66.0,1144.5785714285714,23246048.0,20024100.0,0.0,167237.75539568346,23246048.0,65535.0,13701631.0,100864.0,65535.0,97868.79285714286,1.0,0.0
237.0,36506.0,783.0,66.0,154.0337552742616,188016055.0,20033717.0,0.0,796678.1991525424,188016055.0,65535.0,45023231.0,316928.0,65535.0,189971.4388185654,1.0,0.0
112.0,37497.0,702.0,66.0,334.79464285714283,192313879.0,20022308.0,0.0,1732557.4684684684,192313879.0,65535.0,15492607.0,174080.0,65535.0,138326.8482142857,1.0,0.0
59.0,9617.0,730.0,66.0,163.0,62375942.0,20005528.0,0.0,1075447.2758620689,62375942.0,65535.0,6101503.0,121344.0,65535.0,103415.30508474576,1.0,0.0
12.0,1514.0,583.0,54.0,126.16666666666667,516500.0,175394.0,0.0,46954.545454545456,516500.0,65535.0,865279.0,89088.0,0.0,72106.58333333333,1.0,0.0
8.0,1274.0,583.0,66.0,159.25,436234.0,147409.0,657.0,62319.142857142855,436234.0,65535.0,687103.0,89088.0,65535.0,85887.875,1.0,0.0
222.0,49995.0,1414.0,66.0,225.2027027027027,187799124.0,20155390.0,76.0,849769.7918552036,187799124.0,65535.0,14775295.0,66560.0,65535.0,66555.38288288288,1.0,0.0
110.0,12155.0,1414.0,66.0,110.5,23093763.0,20176138.0,62.0,211869.3853211009,23093763.0,65535.0,14846463.0,235008.0,65535.0,134967.84545454546,1.0,0.0
104.0,47561.0,1414.0,66.0,457.3173076923077,192053848.0,20155219.0,106.0,1864600.4660194174,192053848.0,65535.0,6921215.0,66560.0,65535.0,66550.14423076923,1.0,0.0
55.0,12519.0,855.0,66.0,227.61818181818182,62235853.0,20153586.0,93.0,1152515.7962962964,62235853.0,65535.0,3659775.0,66560.0,65535.0,66541.36363636363,1.0,0.0
8.0,735.0,222.0,66.0,91.875,293049.0,148352.0,53.0,41864.142857142855,293049.0,65535.0,531455.0,66560.0,65535.0,66431.875,1.0,0.0
9.0,864.0,222.0,66.0,96.0,345199.0,178546.0,684.0,43149.875,345199.0,65535.0,598015.0,66560.0,65535.0,66446.11111111111,1.0,0.0
42.0,10190.0,822.0,66.0,242.61904761904762,187585798.0,25306453.0,0.0,4575263.365853659,187585798.0,65535.0,3716095.0,89088.0,65535.0,88478.45238095238,1.0,0.0
39.0,2882.0,222.0,66.0,73.8974358974359,186794799.0,25310967.0,134.0,4915652.605263158,186794799.0,65535.0,2594815.0,66560.0,65535.0,66533.71794871795,1.0,0.0
19.0,2158.0,432.0,66.0,113.57894736842105,20931562.0,19973693.0,0.0,1162864.5555555555,20931562.0,65535.0,1818111.0,101376.0,65535.0,95690.05263157895,1.0,0.0
17.0,5813.0,1414.0,66.0,341.94117647058823,20786021.0,20144380.0,547.0,1299126.3125,20786021.0,65535.0,1130495.0,66560.0,65535.0,66499.70588235294,1.0,0.0
20.0,2252.0,436.0,66.0,112.6,21158481.0,19968458.0,0.0,1113604.2631578948,21158481.0,65535.0,1927167.0,103424.0,65535.0,96358.35,1.0,0.0
17.0,5814.0,1414.0,66.0,342.0,21025585.0,20211629.0,140.0,1314099.0625,21025585.0,65535.0,1130495.0,66560.0,65535.0,66499.70588235294,1.0,0.0
19.0,2206.0,530.0,66.0,116.10526315789474,22083054.0,20019249.0,0.0,1226836.3333333333,22083054.0,65535.0,1846271.0,105984.0,65535.0,97172.15789473684,1.0,0.0
19.0,8468.0,1414.0,54.0,445.6842105263158,22087548.0,20233684.0,234.0,1227086.0,22087548.0,65535.0,1197055.0,66560.0,0.0,63002.89473684211,1.0,0.0
19.0,2220.0,532.0,66.0,116.84210526315789,21550028.0,20005839.0,0.0,1197223.7777777778,21550028.0,65535.0,1859071.0,108544.0,65535.0,97845.84210526316,1.0,0.0
17.0,8364.0,1414.0,66.0,492.0,21390779.0,20162304.0,103.0,1336923.6875,21390779.0,65535.0,1130495.0,66560.0,65535.0,66499.70588235294,1.0,0.0
11.0,1111.0,283.0,66.0,101.0,662488.0,173456.0,0.0,66248.8,662488.0,65535.0,1012223.0,98816.0,65535.0,92020.27272727272,1.0,0.0
11.0,1111.0,283.0,66.0,101.0,661832.0,163407.0,0.0,66183.2,661832.0,65535.0,1012223.0,98816.0,65535.0,92020.27272727272,1.0,0.0
11.0,4755.0,1414.0,66.0,432.27272727272725,488575.0,179455.0,101.0,48857.5,488575.0,65535.0,731135.0,66560.0,65535.0,66466.81818181818,1.0,0.0
11.0,4743.0,1414.0,66.0,431.1818181818182,509252.0,176033.0,144.0,50925.2,509252.0,65535.0,731135.0,66560.0,65535.0,66466.81818181818,1.0,0.0
99.0,15142.0,583.0,66.0,152.94949494949495,118327932.0,20014402.0,0.0,1207427.8775510204,118327932.0,65535.0,10973695.0,137216.0,65535.0,110845.40404040404,1.0,0.0
95.0,19004.0,819.0,66.0,200.0421052631579,118134541.0,20159321.0,67.0,1256750.4361702127,118134541.0,65535.0,6322175.0,66560.0,65535.0,66549.21052631579,1.0,0.0
11.0,3642.0,571.0,54.0,331.09090909090907,48528631.0,18202027.0,35101.0,4852863.1,48528631.0,65535.0,946175.0,88064.0,65535.0,86015.90909090909,1.0,0.0
1.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,65535.0,1.0,0.0
12.0,3744.0,571.0,54.0,312.0,63513135.0,31361266.0,5698.0,5773921.363636363,63513135.0,65535.0,1034239.0,88064.0,65535.0,86186.58333333333,1.0,0.0
1.0,66.0,66.0,66.0,66.0,0.0,0.0,0.0,0.0,0.0,65535.0,65535.0,65535.0,65535.0,65535.0,1.0,0.0
1274.0,1722505.0,1408.0,66.0,1352.0447409733124,36740101.0,19974715.0,0.0,28861.037706205814,36740101.0,65535.0,105658879.0,84480.0,65535.0,82934.75588697018,1.0,0.0
1009.0,82221.0,864.0,66.0,81.48761149653122,36598860.0,20135976.0,76.0,36308.392857142855,36598860.0,65535.0,736729599.0,1669632.0,65535.0,730158.1754212091,1.0,0.0
15.0,1676.0,583.0,54.0,111.73333333333333,725420.0,262066.0,0.0,51815.71428571428,725420.0,65535.0,865279.0,89088.0,0.0,57685.26666666667,1.0,0.0
42.0,6456.0,495.0,66.0,153.71428571428572,45347041.0,18485929.0,0.0,1106025.3902439023,45347041.0,65535.0,4575743.0,134656.0,65535.0,108946.26190476191,1.0,0.0
24.0,6538.0,679.0,66.0,272.4166666666667,37219959.0,20008222.0,0.0,1618259.0869565217,37219959.0,65535.0,2070527.0,94720.0,65535.0,86271.95833333333,1.0,0.0
67.0,12499.0,596.0,66.0,186.55223880597015,44592553.0,15601198.0,0.0,675644.7424242424,44592553.0,65535.0,7029759.0,131584.0,65535.0,104921.77611940299,1.0,0.0
19.0,1688.0,241.0,54.0,88.84210526315789,1788033.0,531492.0,0.0,99335.16666666667,1788033.0,65535.0,1409023.0,99840.0,0.0,74159.1052631579,1.0,0.0
21.0,2244.0,241.0,66.0,106.85714285714286,6333645.0,1635575.0,0.0,316682.25,6333645.0,65535.0,2003455.0,99840.0,65535.0,95402.61904761905,1.0,0.0
14.0,1718.0,583.0,66.0,122.71428571428571,1071033.0,446638.0,0.0,82387.15384615384,1071033.0,65535.0,1225727.0,90112.0,65535.0,87551.92857142857,1.0,0.0
67.0,16498.0,896.0,66.0,246.23880597014926,44379760.0,15512253.0,85.0,672420.6060606061,44379760.0,65535.0,4458495.0,66560.0,65535.0,66544.70149253731,1.0,0.0
40.0,12814.0,1414.0,66.0,320.35,45157385.0,18700319.00000003,159.0,1157881.6666666667,45157385.0,65535.0,2661375.0,66560.0,65535.0,66534.375,1.0,0.0
16.0,5780.0,1414.0,66.0,361.25,1646311.0,531990.0,121.0,109754.06666666667,1646311.0,65535.0,1063935.0,66560.0,65535.0,66495.9375,1.0,0.0
11.0,1034.0,222.0,66.0,94.0,933107.0,444399.0,440.0,93310.7,933107.0,65535.0,731135.0,66560.0,65535.0,66466.81818181818,1.0,0.0
21.0,8026.0,1414.0,66.0,382.1904761904762,37053061.0,20169944.0,81.0,1852653.05,37053061.0,65535.0,1396735.0,66560.0,65535.0,66511.19047619047,1.0,0.0
11.0,1034.0,222.0,66.0,94.0,549256.0,272846.0,96.0,54925.6,549256.0,65535.0,731135.0,66560.0,65535.0,66466.81818181818,1.0,0.0
15.0,5891.0,1414.0,66.0,392.73333333333335,6162826.0,1320584.0,87.0,440201.85714285716,6162826.0,65535.0,997375.0,66560.0,65535.0,66491.66666666667,1.0,0.0
25.0,4437.0,822.0,66.0,177.48,45158647.0,23263332.0,0.0,1881610.2916666667,45158647.0,65535.0,2316798.0,97792.0,65535.0,92671.92,1.0,0.0
20.0,5304.0,1414.0,66.0,265.2,44218041.0,21928368.0,297.0,2327265.3157894737,44218041.0,65535.0,1329150.0,66560.0,65535.0,66457.5,1.0,0.0
11.0,2256.0,679.0,66.0,205.0909090909091,7422892.0,5610233.0,2939.0,742289.2,7422892.0,65535.0,957951.0,97280.0,65535.0,87086.45454545454,1.0,0.0
10.0,5915.0,1414.0,66.0,591.5,7264100.0,5790245.0,219.0,807122.2222222222,7264100.0,65535.0,664575.0,66560.0,65535.0,66457.5,1.0,0.0
