PktCount,SumPktLength,MaxPktLength,MinPktLength,MeanPktLength,SumIat,MaxIat,MinIat,MeanIat,FlowDuration,InitialWindow,SumWindow,MaxWindow,MinWindow,MeanWindow,IsTCP,isVideo
106.0,33331.0,1414.0,66.0,314.4433962264151,300484319.0,44637279.0,169.0,2861755.419047619,300484319.0,1428.0,7323944.0,139264.0,1428.0,69093.81132075471,1.0,1.0
416.0,469556.0,1414.0,66.0,1128.7403846153845,269364126.0,31644059.0,23.0,649070.1831325301,269364126.0,7240.0,2736976.0,7240.0,6576.0,6579.2692307692305,1.0,1.0
1121.0,1491215.0,1414.0,66.0,1330.2542372881355,54661884.0,860857.0,32.0,48805.25357142857,54661884.0,7240.0,7373488.0,7240.0,6512.0,6577.598572702944,1.0,1.0
1101.0,1470244.0,1414.0,54.0,1335.371480472298,130494939.0,60487324.0,23.0,118631.76272727273,130494939.0,7240.0,7235984.0,7240.0,0.0,6572.1925522252495,1.0,1.0
8977.0,12461305.0,1414.0,66.0,1388.1369054249749,155444076.0,64232623.0,13.0,17317.744652406418,155444076.0,65535.0,773181439.0,89600.0,65535.0,86129.15662247967,1.0,1.0
6877.0,9506661.0,1414.0,66.0,1382.3849062091028,191849900.99999997,63441044.00000003,15.0,27901.3817626527,191849900.99999997,7240.0,45224064.0,7240.0,6440.0,6576.132615966264,1.0,1.0
40.0,42058.0,1414.0,66.0,1051.45,21045566.0,19883985.0,258.0,539629.8974358974,21045566.0,7240.0,264608.0,7240.0,6576.0,6615.2,1.0,1.0
189.0,240606.0,1414.0,54.0,1273.047619047619,66322213.0,61471268.0,41.0,352777.72872340423,66322213.0,65535.0,12849663.0,68864.0,0.0,67987.63492063493,1.0,1.0
8333.0,11705097.0,1414.0,66.0,1404.6678267130685,109445365.0,62555459.0,14.0,13135.545487277965,109445365.0,65535.0,741629951.0,110080.0,65535.0,88999.15408616344,1.0,1.0
30.0,21799.0,1414.0,54.0,726.6333333333333,64500746.0,61174332.0,28.0,2224163.6551724137,64500746.0,65535.0,1887999.0,67840.0,0.0,62933.3,1.0,1.0
26.0,15250.0,1414.0,66.0,586.5384615384615,64864505.0,61094559.0,126.0,2594580.2,64864505.0,7240.0,173496.0,7240.0,6576.0,6672.923076923077,1.0,1.0
526.0,724404.0,1414.0,54.0,1377.1939163498098,70213517.0,63395257.00000003,45.0,133740.03238095238,70213517.0,7240.0,3453448.0,7240.0,0.0,6565.490494296578,1.0,1.0
5048.0,7101295.0,1414.0,66.0,1406.7541600633915,82355175.0,60116888.0,15.0,16317.649098474341,82355175.0,28960.0,173120288.0,34304.0,28960.0,34294.827258320125,1.0,1.0
322.0,421596.0,1414.0,66.0,1309.304347826087,14812393.0,1051800.0,33.0,46144.52647975078,14812393.0,7240.0,2119120.0,7240.0,6576.0,6581.11801242236,1.0,1.0
4578.0,6285130.0,1414.0,66.0,1372.898645696811,19997425.0,800297.0,14.0,4369.111863666157,19997425.0,7240.0,30105808.0,7240.0,6408.0,6576.192223678462,1.0,1.0
3551.0,4960402.0,1414.0,66.0,1396.90284426922,19111546.0,5687668.0,14.0,5383.534084507042,19111546.0,7240.0,23353560.0,7240.0,6576.0,6576.6150380174595,1.0,1.0
104.0,30874.0,1414.0,66.0,296.86538461538464,316611931.0,61820485.0,16.0,3073902.2427184465,316611931.0,1428.0,6412072.0,124416.0,1428.0,61654.53846153846,1.0,1.0
